Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ADME,486,0,0.00,0,0.00,35.96,386,100
NURE,476,0,0.00,0,0.00,30.10,476,0
CSM,470,0,0.00,0,0.00,90.41,470,0
BUYZ,457,0,0.00,0,0.00,50.95,457,0
IDHD,448,0,0.00,0,0.00,27.14,448,0
FIBR,444,0,0.00,0,0.00,99.50,444,0
PJAN,423,0,0.00,0,0.00,31.30,423,0
VMOT,422,0,0.00,0,0.00,27.17,422,0
SLT,419,0,0.00,0,0.00,40.78,419,0
FFSG,416,0,0.00,0,0.00,33.93,416,0
QDEC,402,0,0.00,0,0.00,20.46,402,0
USEP,400,0,0.00,0,0.00,27.50,400,0
TSOC,397,0,0.00,0,0.00,29.15,397,0
DALT,392,0,0.00,0,0.00,10.02,392,0
IEFN,388,0,0.00,0,0.00,29.47,388,0
NUDM,378,0,0.00,0,0.00,30.50,378,0
TSJA,330,0,0.00,0,0.00,26.71,330,0
MOTI,322,0,0.00,0,0.00,36.39,322,0
